NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche;skelXcentreGrav;skelYcentreGrav;boucleXcentreGrav;boucleYcentreGrav;diffSkelBoucleXcentreGrav;diffSkelBoucleYcentreGrav;nbPixDiagInfSkel;nbPixDiagSupSkel
074,pgm;4;396;0;1,591797;8,295653;81;56,280528;49,264026;33,729798;67,505051;22,55073;-18,241024;148;153
075,pgm;5;2021;1830;2,29149;12,399292;89;50,154762;49,467262;50,327447;47,77772;-0,172686;1,689542;156;176
076,pgm;6;2057;3390;2,109661;12,948915;81;49,422572;51,461942;54,683679;46,026437;-5,261107;5,435506;224;155
077,pgm;7;0;1;0,07958;11,433492;82;60,174917;46,415842;91;67;-30,825083;-20,584158;127;173
078,pgm;8;3239;273;1,106708;9,047008;40;37,289474;52,007519;30,224089;49,399203;7,065385;2,608316;159;105
079,pgm;9;0;1;0,07958;12,884168;124;57,080851;33,017021;94;32;-36,919149;1,017021;63;170
080,pgm;0;39;1880;1,0092;15,42879;84;57,821678;45,045455;70,472642;65,068786;-12,650964;-20,023331;98;185
081,pgm;1;3536;3147;1,001446;2,839047;77;47,636054;47,343537;48,601227;47,91411;-0,965173;-0,570573;149;144
082,pgm;2;0;671;1,332577;9,67778;52;55,343511;62,736641;87,202683;51,265276;-31,859171;11,471366;144;118
083,pgm;3;0;1;0,07958;14,761906;98;52,036145;36,473896;58;31;-5,963855;5,473896;73;173
084,pgm;4;88;0;0,869048;9,770634;43;55,221757;56,761506;30,545455;66,954545;24,676303;-10,193039;103;134
085,pgm;5;2258;1724;2,434179;14,963334;84;50,621849;51,661064;49,084129;49,667755;1,53772;1,99331;176;177
086,pgm;6;1925;3415;1,702531;11,400045;80;53,655271;48,94302;58,074345;46,216479;-4,419074;2,726541;186;158
087,pgm;7;0;1;0,07958;8,396835;73;54,649485;53,261168;76;82;-21,350515;-28,738832;151;139
088,pgm;8;2834;141;1,354194;11,648521;41;38,039007;52,113475;30,492437;41,992269;7,54657;10,121206;188;91
089,pgm;9;0;1;0,07958;11,73246;84;55,285106;36,178723;88;41;-32,714894;-4,821277;54;179
090,pgm;0;0;1;0,07958;9,354776;107;61,136;48,172;82;71;-20,864;-22,828;114;136
091,pgm;1;2362;2620;0,927755;2,755061;65;50,439834;50,311203;51,308511;50,21658;-0,868677;0,094624;122;118
092,pgm;2;0;432;1,26904;8,927333;76;53,629032;53,875;85,895833;32,203704;-32,266801;21,671296;130;116
093,pgm;3;0;1;0,07958;13,127981;87;49,033962;53,181132;52;40;-2,966038;13,181132;124;140
094,pgm;4;1250;0;0,978895;10,841584;72;52,70679;56,179012;29,1912;71,4272;23,51559;-15,248188;171;152
095,pgm;5;2177;2800;2,118547;13,787051;93;49,93617;46,449468;52,755274;45,539883;-2,819104;0,909585;182;191
096,pgm;6;2072;2694;1,563478;12,318075;65;51,155763;48,906542;54,675199;44,105539;-3,519436;4,801003;167;151
097,pgm;7;0;1;0,07958;12,521957;75;60,019084;47,774809;91;65;-30,980916;-17,225191;100;157
098,pgm;8;2385;13;1,367558;10,228715;3;36,172285;51,35206;27,153461;46,179733;9,018823;5,172327;163;101
099,pgm;9;0;1;0,07958;12,896649;106;62,049261;37,374384;94;37;-31,950739;0,374384;48;153
100,pgm;0;0;719;1,129059;12,712155;54;63,776824;52,879828;85,329624;48,591099;-21,5528;4,28873;92;138
101,pgm;1;3615;3507;1,019095;3,702527;67;47,27439;52,036585;50,175934;52,969812;-2,901543;-0,933226;177;148
102,pgm;2;0;2215;1,164057;13,599824;108;56,974684;54,009494;76,680813;42,044244;-19,706129;11,96525;150;164
103,pgm;3;0;355;1,067266;15,475917;102;59,811404;42,307018;83,709859;19,622535;-23,898456;22,684482;87;139
